2023137592, Disturbance, 3100 BLOCK  WINGATE CT, 06/10,2023 @ 20:28
2023137584, 911, 1300 BLOCK  I70 DR SW, 06/10,2023 @ 20:18
2023137583, 911, 1000 BLOCK  PARK AVE, 06/10,2023 @ 20:17
2023137570, 911, 100 BLOCK  N STADIUM BLVD, 06/10,2023 @ 19:41
2023137569, 911, 1400 BLOCK  CINNAMON HILL LN, 06/10,2023 @ 19:40
2023137549, 911, 2100 BLOCK  BERNADETTE DR, 06/10,2023 @ 19:12
2023137541, Assault, 800 BLOCK  N SIXTH ST, 06/10,2023 @ 19:03
2023137540, 911, 2100 BLOCK  BERNADETTE DR, 06/10,2023 @ 19:03
2023137537, Theft, 2600 BLOCK  TRIMBLE RD, 06/10,2023 @ 19:00
2023137523, Theft, 1200 BLOCK  GRINDSTONE PKWY, 06/10,2023 @ 18:37
2023137518, Trespassing, 3900 BLOCK  ST CHARLES RD, 06/10,2023 @ 18:28
2023137517, Disturbance, 3900 BLOCK  ST CHARLES RD, 06/10,2023 @ 18:28
2023137516, 911, 0 BLOCK  N PROVIDENCE RD, 06/10,2023 @ 18:27
2023137515, 911, 5500 BLOCK  S BETHEL LN, 06/10,2023 @ 18:25
2023137506, 911, 4100 BLOCK  HIDDEN CREEK CT, 06/10,2023 @ 18:10
2023137499, Disturbance, 100 BLOCK  E BUSINESS LOOP 70, 06/10,2023 @ 18:00
2023137498, 911, 800 BLOCK  N FAIRVIEW RD, 06/10,2023 @ 17:55
2023137495, 911, 2000 BLOCK  W WORLEY ST, 06/10,2023 @ 17:53
2023137493, Trespassing, 700 BLOCK  N FOURTH ST, 06/10,2023 @ 17:52
2023137491, Harassment, 2000 BLOCK  NEWTON DR, 06/10,2023 @ 17:51
2023137490, 911, 400 BLOCK  BEAR CREEK TRL, 06/10,2023 @ 17:51
2023137484, 911, 200 BLOCK  ALEXANDER AVE, 06/10,2023 @ 17:43
2023137479, Disturbance, ANDY DR/HOLLY AVE, 06/10,2023 @ 17:36
2023137462, Trespassing, 100 BLOCK  CLINKSCALES RD, 06/10,2023 @ 17:18
2023137461, Disturbance, 600 BLOCK  WOODLAWN AVE, 06/10,2023 @ 17:17
2023137457, 911, 700 BLOCK  ANACONDA CT, 06/10,2023 @ 17:10
2023137456, 911, 3000 BLOCK  FALLING LEAF CT, 06/10,2023 @ 17:09
2023137452, Fraud, 2400 BLOCK  PARIS RD, 06/10,2023 @ 17:02
2023137449, Theft, 3300 BLOCK  VANDIVER DR, 06/10,2023 @ 16:58
2023137446, Disturbance, 500 BLOCK  COLUMBIA DR, 06/10,2023 @ 16:54
2023137444, 911, 2300 BLOCK  BERNADETTE DR, 06/10,2023 @ 16:53
2023137435, Trespassing, 200 BLOCK  E TEXAS AVE, 06/10,2023 @ 16:39
2023137434, 911, 2300 BLOCK  BERNADETTE DR, 06/10,2023 @ 16:39
2023137433, 911, 2300 BLOCK  BERNADETTE DR, 06/10,2023 @ 16:37
2023137412, GTA, 1200 BLOCK  PAQUIN ST, 06/10,2023 @ 16:08
2023137407, 911, 200 BLOCK  BENTON ST, 06/10,2023 @ 16:00
2023137406, 911, 1800 BLOCK  HERIFORD RD, 06/10,2023 @ 15:58
2023137398, 911, 1600 BLOCK  W BUSINESS LOOP 70, 06/10,2023 @ 15:49
2023137394, Disturbance, 800 BLOCK  N KEENE ST, 06/10,2023 @ 15:43
2023137382, Theft, 700 BLOCK  N GARTH AVE, 06/10,2023 @ 15:31
2023137379, 911, 3600 BLOCK  BUTTONWOOD DR, 06/10,2023 @ 15:26
2023137378, 911, 800 BLOCK  MKT TRL, 06/10,2023 @ 15:22
2023137371, 911, 100 BLOCK  N OLD 63, 06/10,2023 @ 15:11
2023137364, 911, 300 BLOCK  MAPLE GROVE WAY, 06/10,2023 @ 14:55
2023137357, 911, 700 BLOCK  W BUSINESS LOOP 70, 06/10,2023 @ 14:46
2023137353, Disturbance, 3300 BLOCK  PARIS RD, 06/10,2023 @ 14:41
2023137350, Disturbance, 3800 BLOCK  FORESTER CT, 06/10,2023 @ 14:36
2023137349, 911, 200 BLOCK  E NIFONG BLVD, 06/10,2023 @ 14:33
2023137346, 911, 3400 BLOCK  GRINDSTONE PKWY, 06/10,2023 @ 14:31
2023137345, Vandalism, 2900 BLOCK  RANGE LINE ST, 06/10,2023 @ 14:31
2023137344, 911, 2500 BLOCK  CHELAN CIR, 06/10,2023 @ 14:30
2023137342, 911, 2500 BLOCK  CHELAN CIR, 06/10,2023 @ 14:27
2023137340, Theft, 100 BLOCK  N TENTH ST, 06/10,2023 @ 14:22
2023137338, Disturbance, 4800 BLOCK  MONITEAU CT, 06/10,2023 @ 14:19
2023137326, Vandalism, 1100 BLOCK  E WALNUT ST, 06/10,2023 @ 13:50
2023137324, 911, 0 BLOCK  S NINTH ST, 06/10,2023 @ 13:43
2023137306, 911, 2200 BLOCK  W ASH ST, 06/10,2023 @ 13:23
2023137295, 911, 100 BLOCK  S PROVIDENCE RD, 06/10,2023 @ 12:57
2023137289, 911, 3400 BLOCK  BIRDSONG LN, 06/10,2023 @ 12:49
2023137278, 911, 4500 BLOCK  PARIS RD, 06/10,2023 @ 12:34
2023137276, 911, 200 BLOCK  S EIGHTH ST, 06/10,2023 @ 12:29
2023137258, 911, 200 BLOCK  N STADIUM BLVD, 06/10,2023 @ 12:02
2023137244, 911, 900 BLOCK  RAIN FOREST PKWY, 06/10,2023 @ 11:35
2023137238, 911, 3900 BLOCK  ZAMBEZI DR, 06/10,2023 @ 11:31
